name,code,co2_emission,n2o_emission (thousand metric tons),n2o_emission,ch4_emission (thousand metric tons),ch4_emission,co2_damage,annual_withdrawal,lv_stress,avg_depth,land_area,cereal_yield,value_added,GDP,GDP_per_capita,PPP,GDP_growth,GDP_employed ,crop_index,food_index
Argentina,ARG,3.74,45650,45.65,84990,84.99,7083724322,73.93,10.46,591,39.6,5523.7,2758230.53,5.71E+11,12716.22,49171.51109,0.43,94411.25835,114.56,112.94
Armenia,ARM,2.19,1170,1.17,660,0.66,238804874,74.49,57.8,562,58.9,1690.6,6135.49,1.29E+10,4561.97,62478.25395,1.83,128302.9392,68.34,81.38
Australia,AUS,15.25,55590,55.59,70790,70.79,15641502923,58.37,3.93,534,47.12,1768.9,86838.25,1.49E+12,58870.02,20064.5005,-1.05,46576.3989,86.12,91.35
Austria,AUT,7.29,2570,2.57,4640,4.64,2563162506,2.21,9.64,1110,32.13,6954.3,29518.53,4.14E+11,46647.08,9028.551485,2.61,21419.73001,98.08,99.96
"Bahamas, The",BHS,6.12,20,0.02,10,0.01,86305938.07,,,1292,1.4,7795.2,16679.13,1.26E+10,31082.81,20818.06168,1.54,47929.93623,100.57,99.7
Belarus,BLR,8.1,11090,11.09,9180,9.18,2414838874,27.03,4.48,618,41.32,3095.6,7249.97,5.90E+10,6264.86,..,-0.06,..,96.07,100.47
Belgium,BEL,1.64,3320,3.32,6040,6.04,3804980158,1.27,54.07,847,44.8,8988.5,57329.89,4.95E+11,43098.48,9021.426022,2.37,21669.06971,99.98,101.04
Belize,BLZ,2.05,220,0.22,200,0.2,26652621.04,67.72,1.26,1705,7.54,2946.5,6249.29,2.30E+09,5907.35,8671.702718,2.39,22004.07077,93.52,97.37
Bolivia,BOL,5.61,9270,9.27,19880,19.88,952247767.8,91.95,1.18,1146,34.88,2030.1,2486.1,3.82E+10,3242.95,5613.660588,0.94,13777.49335,107.53,110.15
Brazil,BRA,1,169340,169.34,334930,334.93,17830131718,61.1,1.55,1761,28.34,5321.6,9992.42,1.82E+12,8592.22,5348.987315,-5.10,12541.52889,111.95,109.26
Bulgaria,BGR,15.43,3530,3.53,1690,1.69,1701274573,14.72,40.08,608,46.4,5774.7,11381.68,5.74E+10,8234.84,31543.60606,1.34,69198.65367,110.9,107.75
Cambodia,KHM,1,4110,4.11,17220,17.22,508660034.9,94,1.04,1904,32.56,3759.7,1547.43,2.38E+10,1465.97,34792.65549,1.66,109385.5223,114.81,109.48
Canada,CAN,15.43,33480,33.48,24060,24.06,23544095294,10.65,3.73,537,6.49,4010.8,113112.65,1.70E+12,45109.24,22071.7481,-2.97,53385.38115,106.97,110.85
Chile,CHL,4.8,5280,5.28,5470,5.47,3559618233,90.89,21.62,1522,21.08,7159.3,11936.93,2.62E+11,10155.49,14685.12789,0.45,33773.38334,109.57,106.81
China,CHN,7.61,342820,342.82,319730,319.73,4.24E+11,64.4,43.22,645,56.08,6267.9,5609.01,1.43E+13,13765.12,24816.61108,-1.02,55347.49061,106.03,101.9
Colombia,COL,1.61,19610,19.61,45630,45.63,3324441051,74.09,4.19,3240,44.71,4850.7,5278.19,3.21E+11,6403.88,14616.13512,1.32,30971.18056,105.37,104.71
Costa Rica,CRI,1.62,1600,1.6,2560,2.56,337146249.9,80.66,4.15,2926,34.77,4052.4,10836.64,6.44E+10,12662.42,11390.21697,-1.88,24485.90322,96.96,101.9
Croatia,HRV,4.06,1250,1.25,1320,1.32,680177986.2,10.96,1.49,1113,26.87,7157.3,16127.91,5.72E+10,14071.91,13609.72301,-1.72,28518.54119,73.07,81.9
Cuba,CUB,2.29,3210,3.21,7230,7.23,981018328.3,64.94,23.94,1335,61.67,2833.1,,9.10E+10,8042.95,12735.16828,0.31,23352.47345,93.33,96.04
Denmark,DNK,5.11,4390,4.39,6010,6.01,1307149528,53.56,24.94,703,65.65,6928.9,52013.94,3.33E+11,57203.03,23256.59787,0.31,50459.95003,103.74,100.59
Ecuador,ECU,2.27,4330,4.33,8280,8.28,1594710472,81.43,6.78,2274,21.46,4328.9,4170.76,1.02E+11,5863.91,..,..,..,94.95,96.43
El Salvador,SLV,1.24,950,0.95,1380,1.38,278237804.8,67.56,2.43,1784,57.71,2777,3136,2.58E+10,4104.92,49379.09333,0.67,97080.2716,107.39,101.73
Finland,FIN,7.37,3770,3.77,2110,2.11,1751797704,13.79,7.11,536,7.48,4257.5,61532.37,2.55E+11,46135.88,4464.29445,5.85,7858.981614,106.37,102.16
France,FRA,4.46,32830,32.83,40720,40.72,12560627440,11.13,23.51,867,52.27,7491.9,53556.05,2.62E+12,38832.02,15977.76383,5.58,29610.57004,99.56,97.88
Germany,DEU,7.91,26830,26.83,31900,31.9,28586294650,1.4,33.5,700,47.7,6952,43714.52,3.60E+12,43284.6,6608.624078,2.68,19741.77775,88.25,93.67
Greece,GRC,5.6,3280,3.28,3850,3.85,2669171773,80.15,20.46,652,45.52,4043.5,17729.97,2.04E+11,19018.9,11857.78912,4.04,24362.14304,97.29,95.96
Guatemala,GTM,1.16,3940,3.94,6460,6.46,788393509.3,56.74,5.74,1996,35.98,2167.4,3263.14,7.08E+10,4263.08,41697.41194,-0.10,78241.62495,103.59,104.83
Honduras,HND,1.03,2500,2.5,4630,4.63,401332575.1,73.3,4.62,1976,31.38,1868.6,2335.58,2.44E+10,2446.11,..,..,..,118.99,106
Hungary,HUN,4.75,5050,5.05,2540,2.54,1915805310,11.17,7.71,589,57.83,6365.8,23944.27,1.47E+11,15082.67,27674.40162,3.13,57479.73648,93.81,97.08
India,IND,1.78,219600,219.6,500220,500.22,1.01E+11,90.41,66.49,1083,60.22,3404.9,2075.83,2.69E+12,1941.82,12458.01843,3.37,31910.79841,112.91,115.29
Indonesia,IDN,2.3,87980,87.98,88960,88.96,24518172485,85.21,29.7,2702,33.18,5205.4,3600.51,1.05E+12,3892.42,4829.536707,6.00,10934.81999,109.3,112.2
Ireland,IRL,7.25,8790,8.79,14420,14.42,1480836738,4.56,20.04,1118,65.67,8505.2,33720.35,3.71E+11,75239.3,43110.37124,0.58,78972.88073,90.49,114.32
Italy,ITA,5.31,10650,10.65,21010,21.01,12959747255,49.73,30,832,44.37,5336.2,40310.62,1.92E+12,32114.3,8731.860869,4.38,21864.42721,93.88,98.46
Japan,JPN,8.54,7530,7.53,14440,14.44,44556867812,67.64,36.37,1668,12.06,6539.5,17763.23,4.57E+12,36081.07,98283.30891,-0.06,163232.479,97.71,100.38
"Korea, Dem. People's Rep.",PRK,2.18,1380,1.38,3560,3.56,588096066,76.35,27.74,1054,21.51,4385.6,,..,..,18003.67145,1.89,32366.26448,102.48,102.59
Latvia,LVA,3.96,1740,1.74,990,0.99,307149872.8,32.32,1.05,667,31.5,4310.1,14946.7,3.08E+10,16069.84,10252.00462,6.39,17976.62628,106.44,104.75
Lithuania,LTU,4.2,3180,3.18,1640,1.64,473656441.4,22.46,1.83,656,47.51,3858.9,15045,4.82E+10,17249.72,14317.55287,8.21,40650.09181,94.09,94.17
Luxembourg,LUX,15.31,220,0.22,430,0.43,373471614.1,1.22,4.09,934,51.11,5972.6,55631.55,6.62E+10,106729.02,55806.43825,1.07,111276.3627,92.85,110.4
Malaysia,MYS,7.72,9690,9.69,4670,4.67,9966737453,45.65,3.44,2875,26.09,3552.2,16575.97,3.65E+11,11114.54,19279.20925,1.61,37579.47592,103.23,97.18
Mexico,MEX,3.59,37830,37.83,60710,60.71,18584049862,75.71,44.72,758,49.44,3992.4,5892.8,1.25E+12,10013.7,51977.18533,1.69,121473.3812,112.8,112.25
Mongolia,MNG,7.14,13630,13.63,17130,17.13,887590200.7,54.26,3.4,241,72.8,1271.9,5705.23,1.42E+10,4385.11,23266.06932,4.77,49962.36287,108.94,136.05
Myanmar,MMR,0.69,21820,21.82,65080,65.08,1571966392,88.56,5.8,2091,19.89,3660.5,1389.59,8.37E+10,1577.8,29347.54823,4.00,71712.96858,98.9,103.67
Netherlands,NLD,8.44,6660,6.66,11640,11.64,6160423271,3.02,17,778,53.96,8654.2,72233.72,8.40E+11,48443.73,56813.96416,1.13,114706.0952,104.72,100.52
New Zealand,NZL,6.83,14480,14.48,27490,27.49,1299897684,65.59,8.05,1732,39.29,8194.2,50780.25,2.02E+11,40599.03,48583.43399,1.11,104162.718,106.22,101.74
Nicaragua,NIC,0.79,3240,3.24,8100,8.1,200168457.4,76.72,2.69,2280,42.09,2248.8,2741.29,1.30E+10,1947.41,45922.79474,1.50,110229.5576,122.16,126.33
Norway,NOR,6.72,2660,2.66,2540,2.54,1502700198,31.39,2.05,1414,2.7,4832.3,108139.74,4.06E+11,76005.22,53874.31665,0.83,104012.7424,102.24,101.44
Panama,PAN,3.15,1120,1.12,2330,2.33,405914361.2,36.83,0.9,2928,29.43,3296.9,5749.18,6.40E+10,15122.52,29721.58576,1.99,80690.02512,109.91,108.89
Paraguay,PRY,1.26,9580,9.58,21490,21.49,350645595.8,78.62,1.84,1130,42.31,4601.1,5954.4,4.07E+10,6229.22,86681.27013,4.01,183912.9127,101.13,102.19
Peru,PER,1.73,8330,8.33,18130,18.13,2232615108,85.08,7.18,1738,19.12,4370,3084.5,2.15E+11,6550.53,42739.04991,1.65,109421.3627,115.66,116.38
Philippines,PHL,1.32,10950,10.95,49370,49.37,6211937627,79,26.25,2348,42.4,3737.9,3530.52,3.96E+11,3589.62,31038.67927,3.29,64117.44788,101.59,101.25
Poland,POL,7.77,17660,17.66,14630,14.63,12945481603,14.09,31.1,600,47.44,3605.3,6560,5.72E+11,21617.41,37184.4536,4.90,75139.49296,90.08,101.87
Portugal,PRT,4.34,2120,2.12,4780,4.78,2068714272,55.76,12.32,854,42.51,5144,15863.71,2.22E+11,15053.23,114542.4969,0.33,238213.553,116.81,111.1
Puerto Rico,PRI,,,,,,169897203.7,3.47,19.54,2054,18.93,2507.9,,9.64E+10,30181.27,56784.03725,1.29,107682.7489,100.97,94.77
Romania,ROU,3.82,7330,7.33,8030,8.03,3029808595,22.24,6.01,637,60.09,5457.5,5016.89,2.18E+11,11252.79,64385.00599,0.07,126162.6317,123.84,112.4
Russian Federation,RUS,11.8,45100,45.1,50920,50.92,65861321953,28.76,4.12,460,13.16,2714.1,14201.45,1.46E+12,9958.46,33159.74903,4.48,72016.87495,111.49,109.98
Singapore,SGP,8.31,20,0.02,0,0,1903920722,4,82.17,2497,0.92,,110206.93,3.50E+11,61340.17,34945.66151,2.66,72989.1085,107.1,124.22
Spain,ESP,5.09,15880,15.88,24440,24.44,10480670079,65.34,40.18,636,52.46,3445.5,43005.1,1.32E+12,28087.9,30000.97783,4.40,67409.64936,102.04,106.68
Sweden,SWE,3.41,4110,4.11,3190,3.19,1427096609,3.16,3.43,624,7.38,6292.1,83760.46,5.50E+11,53490.35,27254.57422,2.24,56624.12833,105.2,100.82
Switzerland,CHE,4.36,1670,1.67,3820,3.82,1489659008,9.06,6.5,1537,38.14,6598.1,35053.52,7.47E+11,87123.66,40760.30896,1.26,95985.01629,97.81,97.14
Thailand,THA,3.75,17310,17.31,48200,48.2,10564352393,90.37,23.01,1622,44.84,3021.7,3216.55,4.60E+11,6456.24,52850.56918,0.96,107031.777,102.44,100.03
Ukraine,UKR,3.94,19370,19.37,10110,10.11,7523343676,39.57,13.73,565,71.3,4980.5,4887.78,1.02E+11,47491.59,70857.08908,0.42,127844.5083,112.81,108.91
United Kingdom,GBR,5.22,23270,23.27,27320,27.32,14070828656,14.05,14.35,1220,72.42,7946,55829.36,3.17E+12,60698.01,12804.95508,3.79,27717.47474,100.51,103.61
United States,USA,14.67,179700,179.7,202140,202.14,2.01E+11,39.66,28.16,715,44.36,8005.6,100061.65,1.99E+13,2425.63,47362.26461,1.03,94765.19513,94.5,100.09
Uruguay,URY,1.89,7500,7.5,18660,18.66,253931677.6,86.61,9.79,1300,80.72,5328.5,24098.36,5.55E+10,16192.16,35161.83047,1.23,67875.94133,97.24,101.91
"Venezuela, RB",VEN,3.88,12090,12.09,26820,26.82,5520983212,73.85,7.54,2044,24.38,3267.2,,..,..,8528.748802,0.74,18371.15528,90.95,83.22
Vietnam,VNM,3.51,21140,21.14,48160,48.16,11382213949,94.78,18.13,1821,39.52,5715.8,1734.94,3.15E+11,3288.35,32649.14161,4.91,69283.46056,105.17,104.26
